ID,Team A,Team B,A,B,Tournament,Phase,Extra
24432,Mark V,Simon K,0,6,Birmingham XLVII,,
24433,Steve E,John V,8,1,Birmingham XLVII,,
24434,Garry C,Mick C,8,4,Birmingham XLVII,,
24435,Cornelius H,Andy G,2,5,Birmingham XLVII,,
24436,Lee W,Ian K,3,2,Birmingham XLVII,,
24437,Steve E,Mark V,11,1,Birmingham XLVII,,
24438,Garry C,Simon K,3,1,Birmingham XLVII,,
24439,Cornelius H,John V,5,2,Birmingham XLVII,,
24440,Lee W,Mick C,4,5,Birmingham XLVII,,
24441,Ian K,Andy G,3,8,Birmingham XLVII,,
24442,Mark V,Garry C,3,5,Birmingham XLVII,,
24443,Cornelius H,Steve E,0,7,Birmingham XLVII,,
24444,Lee W,Simon K,1,5,Birmingham XLVII,,
24445,Ian K,John V,5,2,Birmingham XLVII,,
24446,Andy G,Mick C,6,3,Birmingham XLVII,,
24447,Cornelius H,Mark V,5,3,Birmingham XLVII,,
24448,Lee W,Garry C,2,3,Birmingham XLVII,,
24449,Ian K,Steve E,3,8,Birmingham XLVII,,
24450,Andy G,Simon K,6,3,Birmingham XLVII,,
24451,Mick C,John V,3,0,Birmingham XLVII,,
24452,Mark V,Lee W,4,8,Birmingham XLVII,,
24453,Ian K,Cornelius H,3,3,Birmingham XLVII,,
24454,Andy G,Garry C,3,1,Birmingham XLVII,,
24455,Mick C,Steve E,4,5,Birmingham XLVII,,
24456,John V,Simon K,3,4,Birmingham XLVII,,
24457,Ian K,Mark V,3,1,Birmingham XLVII,,
24458,Andy G,Lee W,7,4,Birmingham XLVII,,
24459,Mick C,Cornelius H,4,2,Birmingham XLVII,,
24460,John V,Garry C,1,7,Birmingham XLVII,,
24461,Simon K,Steve E,2,5,Birmingham XLVII,,
24462,Mark V,Andy G,3,9,Birmingham XLVII,,
24463,Mick C,Ian K,4,5,Birmingham XLVII,,
24464,John V,Lee W,2,5,Birmingham XLVII,,
24465,Simon K,Cornelius H,2,3,Birmingham XLVII,,
24466,Steve E,Garry C,3,4,Birmingham XLVII,,
24467,Mick C,Mark V,9,2,Birmingham XLVII,,
24468,John V,Andy G,1,9,Birmingham XLVII,,
24469,Simon K,Ian K,3,2,Birmingham XLVII,,
